@RELATION "composer dataset"

@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE flatness-mean REAL
@ATTRIBUTE flatness-variance REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE composer {bach, beethoven, chopin, haydn, liszt, mendelssohn, mozart, vivaldi}

@DATA
-79.426231,-70.457687,-70.662102,-70.839897,-71.774246,-68.420609,-70.913261,-68.397835,-68.324776,-66.244156,-68.986076,-67.407494,-71.645798,0.38860005163380307,0.0048028321926395275,2619.3379790940767,991254.96242518432,7344.466389973958,1652673.2908063782,128.45096859916254,23113.926366204043,62.868942059448962,151462.54692719734,0.024648467745838173,7.9262844886706768e-05,bach
-37.233006,-34.665024,-35.969521,-34.382111,-36.198288,-35.002419,-39.568794,-34.595104,-39.07782,-36.031944,-34.581642,-36.081398,-36.42429,0.2847330563759739,0.0017033583896855363,4300.8710801393727,1930234.4328570217,6371.5499027974374,1693909.598138235,534.36681789378997,194811.02838442655,14806.93183972917,3924236402.0025973,0.044994465011614401,0.00012529860093821456,bach
-63.132095,-52.090775,-49.89476,-55.486935,-54.121456,-53.740646,-53.151516,-54.23719,-49.227932,-52.036411,-47.634724,-50.685059,-51.635098,0.29795050424888897,0.0022574828950959048,3903.6585365853657,2012835.0471658027,6492.1852687078072,1599038.9640568306,461.93709329944039,188970.42933315563,11473.206118412078,2676625337.5828471,0.042309768800813011,0.00017992686053769428,bach
-51.930008,-45.728813,-44.600761,-41.931969,-39.199074,-39.782413,-39.839172,-38.037758,-38.375965,-38.571976,-37.952805,-40.071175,-37.210686,0.3446767349207166,0.0039456667005207313,3760.2787456445994,2416854.2777015623,7211.2441042354758,1674163.0162819393,104.71822122977402,33213.260888843834,81.541283071979578,273428.44135819562,0.036117311507936505,0.00018744531425683912,bach
-58.070896,-52.951656,-50.915543,-50.649529,-52.959576,-51.783348,-51.366093,-54.116997,-55.455879,-49.526272,-47.04097,-43.552448,-38.020611,0.23907816279109853,0.00096170786904994335,4005.5749128919861,1297460.2095448531,6862.8411339240347,1097965.066894548,40.226374903622407,1764.7073882115558,19.914637554919139,8353.1269798816847,0.062815690935927218,0.00027204088646808793,bach
-56.251175,-48.5364,-52.591282,-58.352802,-54.760567,-56.145622,-55.198593,-56.505775,-58.881874,-53.375423,-46.396461,-43.963585,-44.147987,0.21663335314726487,0.00088401114304335492,6032.4041811846691,827765.30005220405,7333.3225867034762,1873874.709932396,38.859031648309113,2723.9337030852644,4.5550040275329193,1071.2353635698794,0.08090383638211382,0.00030307030090883578,bach
-55.349323,-51.812321,-53.478001,-53.041325,-52.509174,-53.830315,-53.046246,-56.783073,-48.076721,-49.038193,-49.665012,-50.968277,-51.587868,0.24598249335576064,0.00093766268733794385,5029.7909407665502,1329521.9075137491,7285.8688051797508,1419311.8531184478,57.271159770919795,5261.3790714225661,35.451955452152944,52047.278936811825,0.059253865418118466,0.00029388962980983122,bach
-43.747433,-39.789463,-42.168583,-42.553791,-44.648232,-44.440556,-40.717209,-40.910934,-40.258766,-42.569145,-43.515678,-43.232323,-46.986946,0.24469619235395232,0.0010664260529686198,3379.7909407665506,2151176.959778558,7048.8318752948971,1264484.0386346059,77.510606939461269,3614.5002612557546,119.44296273433255,283461.45566600794,0.060600183289779327,0.00028737064969143239,bach
-47.716618,-38.054752,-39.645386,-38.119678,-39.363972,-39.509666,-38.713215,-38.190109,-38.730156,-39.051521,-41.350361,-41.754379,-41.761822,0.30031352287408597,0.0017377138069277613,4147.5609756097565,1494610.7758986999,6713.6669976695584,1452391.3484058857,380.16095905695317,73773.807893703459,1217.6237063235067,23187778.490093689,0.040682542707123501,0.00011222509716002008,bach
-61.224159,-38.651279,-43.503864,-43.434078,-44.533127,-43.106491,-43.939655,-38.65366,-42.023907,-38.843475,-40.302979,-48.228352,-47.873032,0.30458792596420853,0.0021945301421282485,2686.4111498257839,2829327.538272894,6586.6502411916554,1986876.3363613903,260.05977586568258,46476.526793690791,20465.350039255332,9746159381.2614613,0.040768365272938444,0.00020436041073602562,bach
-69.859528,-66.051208,-73.19622,-69.570816,-73.083786,-69.595039,-69.760368,-68.248848,-67.470863,-72.976486,-71.612007,-66.421829,-66.719437,0.36251691414711784,0.0035721694792226109,3142.6829268292681,1827855.8681057196,7590.0937795842101,1535734.9404723742,617.45150646478498,426619.79691222135,15117.682581861534,35324199736.078156,0.030664743031358885,0.00010008901622860998,bach
-59.305279,-35.833187,-37.510422,-37.249008,-38.031647,-36.214848,-40.525841,-38.614964,-31.523489,-33.597389,-41.217739,-45.51981,-36.931664,0.22688604014998853,0.00080237794305212462,4404.5296167247388,2176442.8972064732,7008.8382235182562,973757.46732574701,119.28897182308238,56611.38058225967,625.29988360976131,10427521.898847017,0.065288666279519944,0.00020999854419115858,bach
-70.013443,-65.500595,-68.651527,-64.474884,-67.25956,-65.344292,-64.148392,-65.253128,-63.970272,-68.904442,-64.553612,-66.303047,-65.488739,0.34470038946128106,0.0034809537785969649,3768.1184668989549,1232441.7560004371,7067.2786040562696,1668758.058599876,667.23350078672854,649223.35511182691,246.4245223586413,1971527.0393675577,0.037128656721835074,0.00013134269737665992,bach
-56.534859,-48.258812,-48.228848,-49.863064,-48.066586,-46.525635,-50.563503,-47.331558,-49.810661,-51.203701,-47.032749,-46.666889,-50.628216,0.28394073458475705,0.0023127960651455029,3500.6968641114981,583919.37500758772,6757.2012329337858,1064842.6787272792,198.91776010835997,52483.607763893975,46.529703221827937,41381.424348134875,0.049245895639759972,0.00021191886970000864,bach
-74.469742,-58.869854,-58.762001,-61.066116,-66.63813,-65.903648,-64.765251,-61.391953,-65.219734,-61.293495,-57.296833,-56.770855,-57.194756,0.31726713874891105,0.0027192685330085079,6006.0975609756097,1781591.7396107761,7231.8127975434327,1671903.8096766078,33.366271648303602,882.86305181045293,2.324715550545954,144.45049849697531,0.051542688975996905,8.1797291126907849e-05,bach
-66.739304,-58.561825,-60.056759,-60.244507,-55.45377,-54.892109,-56.2607,-55.370789,-60.23666,-56.462776,-61.62772,-60.297546,-55.179451,0.30506026413705611,0.0028201855112625902,5232.2299651567946,2481583.1805655044,7357.9548861584462,1514010.8360811186,110.35554233762214,30122.852423200024,31.114570888450817,52305.834583649121,0.051338151495354242,0.00014222152705370872,bach
-47.256428,-39.466648,-39.095688,-46.061234,-33.424088,-34.969429,-32.121975,-38.617355,-34.876984,-38.961891,-44.646671,-38.632107,-37.626518,0.24820260960858229,0.0019281905960299554,5306.0975609756097,9534396.6176595557,6316.1531359074052,1155045.5075658206,315.2907279647232,318020.45805920509,1456.969960786397,109873614.61044547,0.078114035883662405,0.00068225065845307887,bach
-72.766685,-59.61776,-57.211746,-56.342533,-56.52462,-56.058273,-55.465427,-53.929897,-51.27533,-47.233498,-50.438778,-48.205574,-49.866814,0.28644996644958615,0.0019318451024892334,4506.2717770034842,1994072.1630710582,6683.9448530468144,1118799.5112969449,89.063313240050533,6774.0692152968722,16.971497791687462,10496.945701359877,0.048725667223190092,0.0001239291347119328,bach
-68.280121,-54.336739,-53.220074,-51.124275,-50.309017,-55.734417,-59.897865,-56.11092,-53.398544,-59.764114,-58.725346,-54.458298,-54.983086,0.2008698091770483,0.00083068399610463901,5031.8815331010455,3884462.6619237824,6940.3033924110168,1229250.3207509448,67.611015136343212,4631.4358117696838,300.49311643493326,1887295.1241788492,0.077527266623112656,0.00036333599642026938,bach
-57.050377,-52.253479,-54.409569,-52.670444,-56.60881,-56.783817,-57.944431,-55.465542,-57.243698,-60.040749,-59.227741,-62.040936,-59.369572,0.33670185521343077,0.0030100516924934251,5151.3937282229963,2255224.5383578767,7233.2657316165796,1264708.1156358782,20.75895686775873,513.28165289296487,3.6072841648209701,757.96379407531526,0.046614885791715063,9.8576158566717766e-05,bach
-65.576378,-53.393974,-51.232121,-55.958012,-55.451782,-48.948307,-49.604294,-48.466595,-50.98954,-54.079128,-54.331821,-54.982994,-53.30106,0.22132782755182365,0.001064222010777641,5055.5749128919861,2987860.9064089647,6814.1187684121542,815529.8657810369,53.116961005765063,2673.0777416966671,30.485715515315036,49743.94420758749,0.076808927966511814,0.00035264971210269351,bach
-51.859573,-48.878502,-52.813339,-50.879738,-52.429024,-51.863995,-52.209049,-53.441921,-51.726162,-54.605793,-56.876442,-52.566032,-54.139835,0.31360774451778051,0.0026154049465797959,5172.9965156794424,3178042.5888380343,7254.8538148697617,1340689.1893892763,274.09014570939183,232062.74709927072,59.135037685446072,185489.01681247982,0.048509787553232674,0.0001935502984961096,bach
-64.084038,-61.971962,-64.458977,-64.952103,-61.913986,-63.336308,-64.641281,-66.471786,-63.453548,-59.106758,-60.464878,-60.784874,-66.972275,0.34730990940039352,0.0032783742310919578,3201.3937282229967,1331444.0505529994,6684.5891433698098,1567413.7564390439,192.15369783221314,24099.326636673417,62.284706163945728,64645.028497219158,0.039617133057491288,0.0001770030702804244,bach
-43.346329,-37.818661,-37.131779,-36.018539,-36.905704,-36.714279,-37.078854,-39.614937,-43.391479,-42.690342,-41.814095,-43.97245,-44.612995,0.27350383165082959,0.0018162458655831459,3628.745644599303,1496952.43356117,7443.374636199278,1406525.3358791268,155.43686533620365,19711.843784428849,436.41842664498131,7078047.2691502944,0.049887863554974834,0.00034542182028070615,bach
-54.261475,-49.344624,-51.812504,-54.293888,-59.515343,-59.952694,-56.036819,-57.250832,-58.914635,-59.469501,-56.836594,-56.78434,-55.91758,0.36209699977081133,0.0037399217314456213,2541.2891986062718,1257781.2647962219,7557.9055213588545,1316206.5439798762,487.12061406511049,468476.62280924211,1639.900246406944,158645043.10704845,0.029001221931862175,0.0001405276766624308,bach
-60.40134,-56.187099,-48.006184,-47.59927,-49.76878,-46.232224,-43.528683,-47.041519,-54.163628,-50.374413,-50.868301,-49.903824,-48.614864,0.20686755121058348,0.0010917859313854289,5084.5408163265311,2568939.5850687213,7142.407933075574,1054397.0548065084,89.047273181409253,151548.19787910249,51.896342066950389,77913.715553837377,0.083926578443877548,0.00040900129916418695,bach
-53.494408,-48.043064,-52.528175,-50.16185,-46.633663,-48.283482,-49.321327,-48.344246,-48.14764,-48.677368,-48.083206,-43.805607,-51.282829,0.26832530245709874,0.0010339526960122601,3238.3275261324043,1137816.7150262841,6673.6983831142024,1603715.2415747989,133.97038390365995,23607.262350307035,360.77955594888931,4872405.7342845425,0.044048904495741385,0.00012449490283644217,bach
-53.507847,-46.525234,-43.537102,-46.295738,-42.953751,-47.168472,-48.671047,-49.585453,-55.044155,-49.863483,-49.409256,-50.480537,-60.027458,0.28602087286568129,0.0016127129483100573,3330.3135888501743,779603.73441464629,6909.6756151814452,2502530.8874895056,64.661029151784689,5706.6834442383433,13.451883740574853,4093.6666713452405,0.039285941129500582,0.00013557083220099158,bach
-67.013809,-56.962975,-63.013474,-62.73978,-65.406708,-64.941757,-64.773972,-64.14183,-62.560402,-64.429184,-62.98035,-66.31649,-63.368652,0.37414811023136374,0.0053468453305238655,3308.1881533101046,2857328.4245286458,7849.3270428606211,1406743.2534174933,129.45023351448523,14270.151300292569,19.412156699548152,3680.1564153212257,0.036791037553232674,0.00031887853672896621,bach
-55.64307,-51.793373,-54.010647,-56.072495,-54.373886,-56.999454,-53.215656,-59.893242,-50.769939,-53.424412,-50.868965,-52.531364,-54.411114,0.31191180031450966,0.0023427849816263944,4415.5052264808364,2726336.2430040431,7127.9206073213072,1159114.2616978374,34.191174398638971,1121.1613444545344,2.1623616772438465,414.98179808139321,0.046445509097948125,0.0001077494651534935,bach
-59.013649,-45.624512,-49.063187,-51.356564,-44.183884,-46.603523,-46.369148,-44.37949,-52.556316,-43.553692,-44.604736,-43.461708,-47.265224,0.31502594846397047,0.0029503971967682718,3208.8850174216027,2305330.4641309232,7030.5559939311725,1422171.2557691776,137.36898061128906,35040.603317339563,202.3211585807552,714855.86139894184,0.044887848432055746,0.00082255493947954676,bach
-36.662239,-32.688351,-39.867474,-37.647446,-32.796787,-32.522438,-33.128201,-38.614162,-41.873047,-39.293144,-36.248985,-36.753254,-35.606514,0.32715958141675994,0.0039468824263293231,4167.9442508710799,1208850.4777282714,6433.5532104633967,1275553.991040847,511.11775069766577,389279.61188811646,1551.270283088757,51541421.244322546,0.038195956736353079,0.00015586435671250472,bach
-56.207615,-49.262039,-49.590595,-49.480289,-51.200787,-46.99136,-48.66481,-47.677006,-48.676655,-47.816105,-47.65049,-46.976841,-47.921589,0.24652442657989077,0.00097865319693383091,5248.6062717770037,536600.84497808642,6887.3880893590604,1586295.8089851113,30.565015738480227,2113.4821927981211,16.924748425651298,4512.4043138251982,0.055234571597948125,9.8297640724534922e-05,bach
-70.120277,-56.326408,-46.145195,-39.796249,-38.362217,-41.796791,-41.512188,-41.262627,-41.88427,-52.265079,-46.555916,-48.393833,-51.414055,0.21477950324545617,0.00091165598498788849,4149.4773519163764,2631698.3331107576,6702.9771146755829,928581.96287692874,138.83941213391429,23352.701096135253,607.56106291400704,25401066.601792507,0.076139738796941539,0.00034713161868173516,bach
-67.825005,-67.577011,-69.515251,-68.515678,-71.420181,-73.062935,-74.286606,-68.613144,-68.382965,-73.266739,-70.807785,-69.286575,-68.730995,0.34494595458652455,0.0025204670279781378,2888.1533101045297,649005.99740193516,7244.6967294229999,1765484.9178135653,92.747739326940049,5401.3718493737906,14.683196103166187,22646.993409685503,0.035213339019550913,0.00011761103502224121,bach
-56.145412,-45.351543,-43.339993,-45.175819,-48.502438,-44.627995,-45.470364,-44.792629,-45.083706,-51.004868,-50.175198,-46.171658,-44.046982,0.33359708610750471,0.0036029069343455245,2998.4320557491287,1706156.0781361924,7388.8042323946538,1634510.3388638019,279.58772463471769,101271.8546755274,206.21936565328477,489990.47002827819,0.038493500169376693,0.00040667955255343385,bach
-58.737469,-59.300053,-56.96669,-64.929329,-57.884274,-60.152336,-59.422684,-57.754387,-57.205448,-57.514076,-61.366592,-59.699165,-56.939632,0.27703788457131873,0.0016377185166561751,6271.6027874564461,3370979.3126054704,6855.2985395608002,971222.41067288467,69.803970580963124,2339.9267630623167,26.890727030740504,73409.61057818307,0.063480721302748747,0.00016302512429741556,bach
-52.109524,-47.361572,-46.23967,-47.503338,-48.68602,-45.218105,-49.905685,-45.762962,-47.529343,-46.441807,-43.382088,-45.623497,-40.897846,0.33635493766832297,0.002371382128907903,4020.2090592334494,1467100.3047262926,6335.2562223250579,1371746.4112186609,272.34765106128066,45119.3788756555,271.93273700928984,1166270.7366036882,0.03410445097754549,6.5976565853330195e-05,bach
-49.269531,-41.737263,-41.874146,-40.477154,-44.98822,-41.294739,-41.599449,-44.426044,-39.692177,-43.140011,-41.031975,-43.907452,-44.896957,0.34274633033211915,0.0032577438721638962,3419.5121951219512,831831.81779552996,6485.4060445173372,1279453.01922523,177.65998804843846,78285.321860418393,561.49612093471421,18338447.315653693,0.030868524366047232,6.0663305701053784e-05,bach
-71.343536,-66.346794,-67.334053,-63.754578,-71.714073,-66.897087,-69.94799,-61.513435,-69.49958,-60.828049,-65.849716,-64.32029,-65.167252,0.34279701748283803,0.0030502641729121382,2960.452961672474,1397329.7599825177,6681.0352389534637,1819401.4040776829,446.4896439896782,338976.31865673262,475.29162281519308,4263997.3073563632,0.033720328832752611,0.00011992278574256347,bach
-47.11393,-42.573666,-42.088058,-42.15522,-40.343777,-41.239346,-42.892475,-38.687202,-36.982216,-36.288586,-36.601112,-36.815868,-36.464947,0.34852983471708521,0.0027068603937584956,3035.0174216027876,516273.78018429258,6734.4387919698811,2016451.0681273814,574.47027031119092,385505.63044384209,13244.511545941687,6176124229.6137314,0.027691955211962833,5.7503499136209952e-05,bach
-59.427681,-43.597389,-47.601852,-46.112343,-45.135578,-46.60038,-48.207233,-47.917355,-46.900311,-46.578835,-47.812313,-46.195866,-36.946499,0.19834990810099565,0.001846761979966425,4684.1463414634145,6516726.0134273814,6598.2206328034263,4742084.6935096914,93.153467738456513,10707.03774890052,313.10766327650714,5655190.5753566651,0.089243370112272555,0.00083126643903395122,bach
-70.832092,-61.551994,-58.60677,-58.863403,-57.462887,-57.593502,-58.943954,-59.884151,-59.067627,-58.191143,-57.35561,-59.566746,-59.409973,0.29165336666783759,0.0024274877070075938,5428.0487804878048,3532340.4436134952,6843.1044607129243,1070259.8937301682,50.674376408905196,5840.7162327766564,19.993880065959818,29723.416772204051,0.056715483449477355,0.00016171142007310549,bach
