@RELATION "composer dataset"

@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE flatness-mean REAL
@ATTRIBUTE flatness-variance REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE composer {bach, beethoven, chopin, haydn, liszt, mendelssohn, mozart, vivaldi}

@DATA
-79.424103,-70.438515,-70.711433,-70.821701,-71.778458,-68.413406,-70.873405,-68.400459,-68.301216,-66.256218,-69.000389,-67.381493,-71.686447,0.38858758192906029,0.0047996521360388249,2619.3379790940767,991254.96242517605,7344.4673106761757,1652671.3604974833,128.45080445023225,23113.901990482525,62.86993173733655,151473.13500662692,0.024648467745838173,7.9450404527718702e-05,bach
-56.533176,-48.257202,-48.227539,-49.861984,-48.066185,-46.524067,-50.560017,-47.332066,-49.809536,-51.209782,-47.032959,-46.666458,-50.620461,0.28394127999148627,0.0023129202616248437,3500.6968641114981,583919.37500758551,6757.2023387027257,1064839.8401269142,199.02751636357442,52501.725243062116,46.528509947264155,41381.516262056801,0.049254213245257451,0.00021203590601033773,bach
-72.746246,-73.855431,-69.281693,-69.332748,-75.136154,-79.034996,-77.544266,-70.360527,-65.094406,-65.708405,-66.193192,-73.21656,-70.426193,0.32450551373802594,0.0030810658418940103,3374.9128919860627,2855206.8739453196,7586.8597456060361,1477476.1353265916,197.4938070204569,45653.08905093903,159.36744144398079,2674722.5691308249,0.044578206663763068,0.00029489068546137745,bach
-37.23333,-34.664822,-35.969421,-34.38121,-36.198318,-35.00267,-39.569218,-34.594894,-39.076542,-36.032135,-34.582111,-36.081097,-36.424362,0.2847369780408473,0.0017039145435375851,4300.8710801393727,1930234.4328570049,6371.5501065787721,1693905.6911738329,534.81056216332604,195262.52941128364,14806.881623862178,3924168527.9656544,0.044990306208865662,0.00012491114571941802,bach
-58.067772,-52.953819,-50.918255,-50.649246,-52.958679,-51.78215,-51.367977,-54.114964,-55.455235,-49.526314,-47.038433,-43.551838,-38.020443,0.23907948902328949,0.00096175906594320095,4005.5749128919861,1297460.2095448636,6862.8344307846673,1097971.5049455869,40.388825034615238,2087.4713920820855,19.915161474261744,8353.6919576915025,0.062817581300813011,0.00027249640446259059,bach
-56.251553,-48.537762,-52.590061,-58.346245,-54.75502,-56.150337,-55.20314,-56.500061,-58.886997,-53.374393,-46.396202,-43.962173,-44.14677,0.2166353568371257,0.00088404186865410016,6032.4041811846691,827765.30005219707,7333.3240853847574,1873874.7121307231,38.859273923721787,2723.9179645255617,4.5555118742635203,1071.9252103248728,0.08091139784165699,0.00030330439011043794,bach
-55.357559,-51.815266,-53.475075,-53.04364,-52.507267,-53.831245,-53.048157,-56.777058,-48.073093,-49.03933,-49.667061,-50.969337,-51.587139,0.24598217307598241,0.00093774449828478042,5029.7909407665502,1329521.9075137328,7285.8665596153032,1419309.0167647782,57.271260328824511,5261.4102609510646,35.453035242910651,52052.365361887423,0.059249706615369727,0.00029467524782110228,bach
-43.748898,-39.789799,-42.168419,-42.551548,-44.648251,-44.440926,-40.718674,-40.911221,-40.259277,-42.568806,-43.515366,-43.232803,-46.985703,0.24469738879662542,0.0010663133075680508,3379.7909407665506,2151176.959778606,7048.8278905002362,1264479.3831988696,77.510226814035207,3614.4619381926964,119.44231106758896,283477.5760949548,0.060590731465350371,0.00028788809551220625,bach
-55.091545,-48.45113,-47.320194,-48.54039,-48.20129,-47.174011,-47.702843,-52.668694,-51.14011,-50.001125,-52.225258,-54.435715,-54.05146,0.24993917803477281,0.00090800973470829256,3035.3658536585367,722695.24942635372,6934.7423825856558,1805114.3736307644,34.787399574993103,1192.4322653497993,59.7070853548625,59492.676679505101,0.050710928426248546,0.00016836158490735791,bach
-61.209003,-38.651066,-43.503269,-43.434532,-44.533329,-43.10873,-43.940586,-38.653511,-42.023335,-38.842171,-40.303406,-48.228123,-47.874382,0.30458771984590099,0.0021945417099752625,2686.4111498257839,2829327.5382728558,6586.6479842850185,1986896.2837431259,259.82845941588624,46436.27969702088,20465.213635790315,9745994479.3905716,0.040767609126984128,0.00020490794668274971,bach
