@RELATION "composer dataset"

@ATTRIBUTE filename STRING
@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE flatness-mean REAL
@ATTRIBUTE flatness-variance REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE flatness-std REAL
@ATTRIBUTE flatness-hmean REAL
@ATTRIBUTE period {baroque, classical, romantic}

@DATA
205,-62.535305,-54.976753,-55.975079,-52.554234,-57.297531,-58.01125,-54.909687,-53.213066,-59.901474,-60.228027,-62.356697,-60.610474,-62.048828,0.2049585792762085,0.0024158330793841902,4147.5609756097565,3717955.7236338919,6494.0476878569007,1377020.5639921557,42.601986705437675,3664.3529838855402,11.461280826002493,5727.9843435758221,0.079873965592334492,0.0013472723242810793,0.049151124904565413,0.19180948221457109,baroque
164,-60.770855,-50.82645,-50.215923,-50.588963,-52.26844,-52.818295,-52.820625,-52.273499,-50.535294,-51.272678,-52.002094,-58.098934,-55.332298,0.22143837353384083,0.0023707908376418476,4345.2961672473866,3865509.2328424533,6596.2667503342163,705054.2975075274,18.835625135619949,1002.2896094833616,24.916299779007566,23153.6617884398,0.070388492668408825,0.00097926858645929729,0.048690767478464,0.20959860038907255,baroque
193,-49.643497,-37.235176,-38.917831,-41.413822,-44.305172,-41.103962,-43.349857,-40.204807,-38.808052,-41.801033,-36.817936,-45.063068,-38.021336,0.30148126086291538,0.0026446192622537781,3286.2369337979094,2044540.5431655115,6975.9127238381061,1947855.2172631146,363.22464964983021,182823.05089613225,3375.9691957856967,253286540.80704057,0.036105969318621756,0.00019190195993848831,0.051425861803705127,0.29279776208172431,baroque
175,-65.148788,-48.732586,-50.150249,-54.478783,-51.24749,-50.244564,-53.273472,-54.581608,-55.300606,-51.779095,-44.471207,-47.730209,-43.367348,0.29742030971303174,0.0039894198933638925,3582.2299651567946,1551635.4453738662,6485.8797784643584,1404743.6098363986,301.88929775312249,149378.27663173515,2373.8551653284308,253096756.22806504,0.039932067847464191,0.00023619370595481283,0.063161854733406089,0.28432549013846647,baroque
116,-48.728542,-48.495869,-42.303688,-42.286503,-46.412971,-44.277317,-42.8424,-46.106895,-44.931011,-44.800072,-46.756489,-45.237167,-44.549194,0.29247089955657202,0.0034200181022985606,2834.1463414634145,1888468.1737061273,6799.5449442758236,1224823.8250119386,47.58534753247605,2564.8579415177246,196.36515822820712,1274909.1600140603,0.043756654084397988,0.00057009439622619448,0.058480920840036033,0.28113877027334966,baroque
172,-41.093971,-32.015778,-33.824722,-40.731369,-39.268162,-38.019356,-40.077591,-37.357822,-42.12183,-37.964909,-32.816093,-35.209309,-38.533909,0.25616944078507464,0.0015698353446484143,4029.7909407665506,4461020.1653534714,7013.6897583244108,1416769.6673470072,89.932754806248298,8389.002611679256,600.22576705650636,8587585.1015717946,0.058353673659504453,0.00036346063852415637,0.039621147694740171,0.25029824949503504,baroque
179,-70.855988,-61.558426,-58.610344,-58.868473,-57.465916,-57.586922,-58.934753,-59.882004,-59.053917,-58.199932,-57.371944,-59.558323,-59.424992,0.29165484762865584,0.0024280556368949011,5428.0487804878048,3532340.4436134952,6843.1094605390108,1070258.1087974284,50.856879041400752,6125.4028346898222,19.993363631950729,29722.949273235296,0.056702250895276807,0.00016151495932372191,0.049275304533761138,0.28378251246823188,baroque
22,-46.153095,-41.401413,-44.002434,-44.966335,-46.000507,-42.210056,-45.392204,-42.319519,-43.602196,-41.664787,-46.069027,-50.848145,-50.739784,0.30313889793633397,0.0040136593695608985,3671.9512195121952,5118629.642219767,7120.5274264534637,1315244.5410520199,356.50098652079083,264940.63770947559,384.68486710043624,5380461.6867117137,0.048734740974641887,0.00073929563329803527,0.063353447969000859,0.29079198185165089,baroque
101,-54.492302,-41.783237,-43.703835,-43.890434,-44.290226,-44.991211,-40.68935,-42.228775,-40.159264,-42.818211,-46.473137,-44.090034,-43.74028,0.26096007659990939,0.0010871463969486196,3605.226480836237,2774920.4190897061,6921.5086124079016,1110524.8993944156,46.940281298725445,3330.3743455327703,172.46650754924278,523874.94957000931,0.054698086043360433,0.00019492530618836878,0.032971903144171394,0.25677366610533292,baroque
28,-70.025002,-65.513527,-68.600418,-64.455696,-67.253006,-65.331146,-64.171013,-65.255295,-63.949883,-68.859581,-64.581505,-66.335899,-65.480377,0.34469946590657846,0.0034803553825374913,3768.1184668989549,1232441.7560004371,7067.2782579304585,1668755.8459696553,667.18284142465029,649273.71832422854,246.43084285242429,1971699.4693911299,0.037124119846109173,0.00013065759447987053,0.058994536887219409,0.33501594564802278,baroque
