@RELATION "composer dataset"

@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE flatness-mean REAL
@ATTRIBUTE flatness-variance REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE flatness-std REAL
@ATTRIBUTE flatness-hmean REAL
@ATTRIBUTE composer {bach, beethoven, chopin, haydn, liszt, mendelssohn, mozart, vivaldi}

@DATA
-62.023884,-55.634766,-49.565857,-47.243065,-47.423264,-48.78524,-51.213318,-47.353146,-48.298344,-50.12944,-52.480278,-51.732407,-49.78381,0.20258203322015275,0.00097288746041668695,4525.580046403712,3885450.6496249195,7211.2437594975045,1271950.453405767,10.193981322895375,97.35453571539685,2.4837643939519416,77.943284667600878,0.083013099381283831,0.00066833906336238728,0.031191143942098164,0.19377529162019971,bach
-63.30093,-51.16531,-54.612572,-57.043865,-49.783371,-52.200905,-51.602139,-50.026627,-59.233723,-48.865025,-50.193321,-49.236332,-52.929276,0.28333734051462722,0.0019757036085330006,3220.4756380510439,2465517.5231884723,7027.135854911362,1432631.8456006548,34.312626565241509,2189.5067908558849,12.650794944893001,2795.780363844397,0.049110595514307812,0.00095116719334589382,0.044448887596125516,0.26765654050475046,bach
-66.32428,-44.432732,-49.159977,-49.18396,-50.232468,-48.917313,-49.725956,-44.416222,-47.613094,-44.552872,-45.920292,-53.748535,-53.494381,0.28138170964214215,0.0016233124554559946,2698.6078886310906,2995369.2917242735,6583.7127560927529,1992611.0251090152,64.971995325779858,2903.5807700312835,1278.7875901140369,38122604.380946852,0.042614906588360403,0.00034686362623252053,0.040290351890446358,0.26759228531040802,bach
-69.476532,-49.827415,-49.730934,-47.537491,-48.273636,-48.621555,-47.955284,-46.572227,-48.380314,-49.850246,-52.418682,-55.525898,-58.909122,0.18718269501459098,0.00058984980734213665,6208.9907192575401,3245264.2945775012,6886.5782092124664,1176049.8126056551,16.990442060945142,319.00596254078039,5.3447032556046832,429.65174944981356,0.087816986296403707,0.0004347819263489482,0.024286823739265221,0.18059429949199907,bach
-58.898312,-54.699856,-57.321609,-59.516235,-64.296623,-66.512863,-61.929825,-62.911758,-65.468552,-63.984032,-62.805393,-63.12085,-60.864841,0.32819455731404429,0.002005923612265083,2552.4361948955916,1430962.7424486149,7553.95612115115,1329951.5249728549,123.29312432611158,32525.030571199877,102.57694575673541,623581.61818534392,0.031638963408739368,0.00029380166706280457,0.044787538582345458,0.31077942606231856,bach
-55.932884,-57.226387,-54.750687,-57.048538,-53.469875,-51.64045,-50.180504,-52.570515,-50.415161,-53.759792,-51.9716,-49.252254,-46.830444,0.31623601085435793,0.0015315640565153413,3015.4872389791185,616265.36584642902,6818.1143283357196,1891979.414974432,162.50410631604049,31120.46038928616,247.01388660766713,1511772.4738437226,0.030067626764307812,0.00021532909172948539,0.039135202267464281,0.30081840746899002,bach
-77.170197,-70.317841,-74.873848,-73.018318,-75.588219,-71.526001,-73.936157,-72.803093,-72.288155,-76.513313,-76.851669,-73.200653,-74.671082,0.33911209072909054,0.0022139142569261648,3152.7842227378192,1983176.7028601111,7586.3146755516482,1549068.1579607839,155.22522333961646,27951.62220432044,943.95371246982018,137854519.17954949,0.032089858855375096,0.00024822871096795451,0.047052250285466314,0.32060048306359584,bach
-61.14109,-49.679878,-49.159592,-51.923428,-51.514156,-50.649437,-54.26746,-53.054161,-49.754173,-47.593052,-43.736565,-49.422764,-45.549931,0.19070657671318295,0.00060946911889106893,5596.8097447795826,3340885.9939654102,6353.8551880732493,938657.95496718038,22.461500447765747,375.20920974088733,16.279757491258721,7265.1242569202968,0.082024452581206497,0.00035636658263224133,0.02468742835718352,0.18409926475276867,bach
-63.36367,-50.834572,-51.183636,-51.270699,-57.326576,-51.109173,-49.659752,-51.42054,-54.013119,-52.973919,-51.189156,-49.075294,-54.334988,0.24966137961045842,0.00076135221697609798,4237.7610208816704,876622.2491534804,6399.4890287772505,1104314.7341810998,19.808078975208648,338.52857869046039,1.968091876905373,67.360949491439698,0.04868764501160093,0.00025365615840263459,0.027592611637467339,0.23993795041146695,bach
-65.490265,-50.580418,-52.35231,-54.263981,-51.316246,-53.173283,-50.032089,-49.026752,-51.714493,-50.854042,-53.161259,-44.746132,-48.034237,0.22728949462799017,0.00070540913417656975,4823.6658932714618,1863076.8164469574,6710.214541925724,935292.26405040163,13.118324147651876,273.91309346570722,9.2092545439693883,9638.6576838258843,0.059365257033062648,0.00029514670560037645,0.026559539419511207,0.21881756582192466,bach
