@RELATION "composer dataset"

@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE flatness-mean REAL
@ATTRIBUTE flatness-variance REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE flatness-std REAL
@ATTRIBUTE flatness-hmean REAL
@ATTRIBUTE composer {bach, beethoven, chopin, haydn, liszt, mendelssohn, mozart, vivaldi}

@DATA
-56.792358,-57.385624,-54.513603,-51.569817,-56.764275,-49.737026,-51.934998,-50.732109,-50.291588,-55.334656,-59.442909,-54.900856,-53.049923,0.20008889062779384,0.00042217660100708965,4909.9303135888504,1593620.9010671424,6770.8867169541536,1254068.8154875122,10.418513260928872,111.34342010233392,5.5700941807043218,763.0868472269276,0.067593399148277195,0.00014869746361214264,0.020546936535821823,0.19808049188079191,bach
-56.154507,-50.745056,-51.035152,-63.080257,-59.727688,-57.083218,-57.601501,-52.65625,-52.736919,-53.140762,-54.661552,-53.759434,-52.69128,0.21049674643629795,0.00089697015930765677,4654.8780487804879,5292206.1697968869,7196.6189822124225,1188961.1509553532,9.8029522986616033,82.973237364100697,2.1948454005413174,77.194187308550411,0.075931420586527298,0.00053539763508473096,0.029949460083742024,0.20615862378065597,bach
-51.514702,-47.000774,-45.320637,-49.77449,-51.328831,-51.863422,-56.262291,-54.846767,-50.476871,-45.633461,-46.147343,-49.514183,-46.764385,0.19971001644352357,0.00052578491715044398,5587.4564459930316,2771793.8787650419,6799.0026507641614,867088.88288644503,23.878028578366877,388.26327328801779,11.165168816712113,3738.6654432396608,0.075493990151955084,0.0002222693918941744,0.022930000373973917,0.19710897869339428,bach
-53.957512,-53.579693,-51.581669,-54.36219,-55.329037,-48.570137,-50.695259,-50.533989,-51.717941,-53.901939,-52.672153,-50.712868,-52.180462,0.27646474807912236,0.0020997254199298801,5170.905923344948,3174423.5695467717,7245.5238737016971,1353456.3017972484,68.574526083455552,14483.845137562175,4.7534162308582211,850.98399155604193,0.050219433555942702,0.00020889532705170168,0.045822760937441122,0.2692276781297539,bach
-55.272251,-55.843624,-51.351753,-55.299339,-55.775391,-54.665062,-55.281582,-52.459263,-53.82489,-50.421329,-49.09853,-48.839798,-44.142044,0.20900733970275831,0.0007828909557401223,3997.9094076655051,1262068.8001553754,6831.9307966715969,1111739.7968993431,10.122820365154324,93.519710215433903,2.1260004228732723,63.95253382034177,0.067065231199186989,0.00030826417568836402,0.027980188629459279,0.20522489715086806,bach
-57.037876,-55.326431,-52.901367,-56.547676,-56.836285,-55.350967,-54.770077,-52.530941,-54.910019,-52.502178,-53.63549,-60.201656,-53.017879,0.27796632540096761,0.0017079106704582753,3905.226480836237,2023718.3284973691,6490.0214149986086,1595462.4272210307,115.49593772723884,11793.662972940789,723.24507750168323,10282490.240209451,0.043428864813201705,0.00019427324282448945,0.041326875885533319,0.27154425720987641,bach
-55.520443,-55.869553,-54.81266,-55.717014,-57.505394,-54.735847,-56.766109,-57.580894,-58.255798,-55.843197,-52.36924,-51.507114,-52.862568,0.21720862722632223,0.00078602034255736812,4137.2822299651571,2567651.8471755362,6603.6564446130651,751799.57054577477,10.621121370845463,177.0849266452538,5.2820936197768136,1169.7837914085844,0.062354063830816882,0.00025755568679931623,0.028036054332900844,0.21353533274316028,bach
-53.37701,-51.112343,-50.765923,-51.666706,-50.941753,-51.721436,-48.028221,-48.184589,-52.972286,-54.162212,-58.447796,-57.148403,-54.403667,0.20303038253001451,0.00058830946572013332,4100.8710801393727,3045809.3457490634,6864.2668551549496,2248954.0837628758,6.3346479974003485,25.744094657704157,13.23114902913875,3797.8513620615249,0.062275424651567941,0.00024269973892852284,0.024255091542192402,0.20003814997445313,bach
-46.152058,-44.608356,-55.907997,-47.124321,-49.610943,-44.096054,-43.043674,-42.717388,-46.692783,-49.40892,-53.544449,-50.636894,-42.726074,0.19828521003971902,0.00066167620409266945,4924.0418118466896,4304665.8937221607,6795.7869023800449,800215.57393346971,30.122034684475476,639.41651464211088,19.795171030776789,6372.3566547093533,0.078414603900503296,0.00033077133632624078,0.025723067548266271,0.19499664300813588,bach
-51.185173,-51.907967,-45.130737,-50.12561,-54.454285,-52.431656,-49.181313,-46.775425,-47.538322,-49.715305,-49.766273,-49.458664,-57.53447,0.30903048525473154,0.0014153512308017595,4103.4843205574916,1628507.0232733376,7092.2305300923408,1331207.181340246,80.317745032533864,4212.1526967725968,119.04490735915913,614895.52404456423,0.037099923175571044,9.4059224571147609e-05,0.037621154033359472,0.30443758792924763,bach
-54.047081,-43.496792,-46.763222,-43.128578,-45.156258,-43.571899,-42.804115,-42.01339,-43.583839,-44.619156,-47.090675,-53.768295,-50.134686,0.28171139178444976,0.0011193169047297601,4148.4320557491292,1489971.4091466409,6709.2497618140242,1455544.4881147631,95.213364979208237,4629.3309795304021,81.627314792154635,101688.71465525586,0.041637933120402634,0.00011278356166438967,0.033456193817135861,0.27775249700467552,bach
-55.371346,-56.728985,-54.832397,-52.079582,-51.360378,-49.406685,-47.760677,-51.463665,-52.69397,-52.834648,-51.201008,-49.233051,-55.006332,0.20484543879319198,0.00088918134902899056,5123.6933797909405,3089804.4774126201,6992.0758522142978,3267962.4776173588,9.7641568447395066,88.126154155206109,4.6660282347870012,557.99273096392005,0.069473556063685632,0.00041893539421586812,0.029819144002284682,0.19958764232554521,bach
-56.596622,-53.725388,-48.433231,-51.87254,-56.011578,-49.802505,-52.146915,-46.559727,-48.406712,-49.784275,-51.110691,-49.763165,-48.089615,0.23215293088164202,0.00077917077667431485,3204.5296167247388,1777819.2038266754,6178.8114056677678,1465610.6669084767,12.558854933792059,177.40749996326139,4.0773291277806223,166.97192637197966,0.053527572106078204,0.00024070102243086176,0.027913630660921104,0.22879863837450665,bach
-57.929733,-63.411903,-58.415424,-62.123127,-63.990463,-59.962967,-57.430805,-55.196102,-60.225704,-60.890526,-59.400002,-57.781662,-60.311958,0.32784937315793911,0.0023212414034795045,3860.1045296167249,2003991.975136268,7889.5756349168541,1865856.5471810279,62.805506411052889,3167.0280430734665,2.8231052807946311,72.126203678072528,0.03685455381339528,0.00014408277294231103,0.048179263210218405,0.32067265407179518,bach
-54.144039,-58.519863,-54.281235,-60.287144,-57.298306,-50.802532,-46.946255,-43.994812,-46.883686,-43.220291,-43.518894,-42.628494,-42.479595,0.29460738471806902,0.0014792848125585328,5008.1881533101041,1167398.1109397884,6738.3887218751515,1368897.4541113619,226.47787554781888,66012.543426011369,4.4752774358256637,268.08492346562554,0.046418287843592719,5.660500148584952e-05,0.038461471793972378,0.28971250008459115,bach
-56.40527,-58.4104,-53.066502,-57.141037,-55.748013,-52.088642,-50.476521,-48.429222,-51.617722,-49.787518,-52.144119,-50.157864,-51.269321,0.24588893986791316,0.0012225801628541226,5220.5574912891989,2471336.9714334346,7338.9980782550574,1532363.9963603504,27.752250868615096,1891.8005221656242,2.657486036715254,341.45038321703868,0.056560095455865274,0.00021016184619635905,0.034965413809279054,0.24062534001350755,bach
-43.051041,-39.004311,-44.870415,-44.180443,-38.724003,-39.027107,-38.951443,-41.160019,-44.931862,-42.532646,-40.555073,-41.119545,-43.262444,0.28997561591127519,0.0016402176872801141,4165.8536585365855,1206203.3653437486,6427.6580971700478,1290558.0108462879,127.96289445829632,24321.042088071783,104.49325852751004,209420.54373608247,0.041125266163375918,0.00014912078455723941,0.040499601075567576,0.28418848410449277,bach
-57.115471,-60.4804,-56.911831,-61.718357,-62.807457,-59.602642,-59.955547,-56.446228,-61.61451,-59.089275,-59.655388,-58.701378,-58.069405,0.31761995721154096,0.0024068469242573406,3510.452961672474,1367225.2303657853,7259.3962956220657,1628641.4303072134,108.19175171016769,23219.19543376916,6.5698599738635313,758.51786988903621,0.035616364813201705,0.00016040986653639453,0.049059626213999438,0.31011965994059171,bach
-58.181503,-64.087662,-55.382259,-63.259277,-64.175163,-58.146652,-54.862617,-52.904545,-56.841022,-60.625225,-59.254902,-55.721043,-58.687984,0.31678615522578479,0.0019264045482150882,3770.2090592334494,1233615.9841687847,7064.7673634740668,1671489.0376308679,166.99426773283955,40598.669125151893,17.040310371287916,7785.6431996534775,0.037980455139372822,0.00013368899135002448,0.04389082533075777,0.3108190541203979,bach
-49.883553,-47.136082,-44.877628,-45.529934,-48.91592,-44.407902,-47.635929,-46.458096,-44.673153,-47.653908,-46.494377,-51.295227,-50.196236,0.2922309042753935,0.0017425436262920556,3415.1567944250869,830946.22977091465,6478.1868242890714,1289346.1796226541,44.581489036595961,4890.5750879283833,38.758906907472927,75990.850553455981,0.037147938443670148,0.00017770019636306839,0.041743785481099527,0.28570225543997313,bach
-58.698528,-59.398109,-56.284782,-60.311436,-61.341213,-58.861881,-58.620186,-54.22654,-59.818363,-59.610409,-60.387608,-55.516045,-57.199532,0.31789155489614757,0.0039136901063543507,4007.3170731707319,2521549.2478966429,7300.6539091611621,1521607.421500558,56.791531123218036,5467.9066771018879,4.4433360344472721,1231.2143714038179,0.03781221266453736,0.00026329277818954426,0.062559492535940148,0.30486300073954226,bach
-57.616642,-59.505024,-55.277615,-61.674004,-60.680923,-57.867081,-56.125858,-52.251308,-56.96899,-55.111382,-58.06934,-56.524284,-56.297306,0.3110780166970451,0.001620317458210488,2958.01393728223,1400005.4632203833,6678.4911451528023,1820943.7724535097,111.88301541987104,21181.164970868405,33.024600547482748,19467.409904231194,0.035100295199380564,0.00012687505881473675,0.040253167058139513,0.30591375490523987,bach
-51.194515,-45.260376,-45.224957,-47.853889,-48.650486,-60.149372,-49.013248,-49.634354,-44.800884,-46.441788,-46.728775,-47.572308,-53.669926,0.22559656446819107,0.0008495143979668898,3384.4947735191636,2142329.2743629036,7034.9496904905573,1274186.3278523728,19.614210688001741,231.21040181841639,8.9708010027540741,1456.065226882346,0.062303402051877663,0.00028699405813589518,0.029146430278284334,0.2217578761035498,bach
-43.916458,-41.116192,-45.149479,-40.405029,-42.264442,-40.734722,-50.178696,-39.80011,-45.242241,-41.077023,-40.182194,-40.786373,-42.048,0.26963068006046048,0.0011249165479672002,4305.5749128919861,1912878.3280117966,6369.4005270148264,1700073.3476943956,133.77810274700855,12191.879726764608,948.72413039354228,15970814.117187081,0.045922634170538136,0.00012598115780240013,0.033539775609970922,0.26541655452229274,bach
