@RELATION "composer dataset"

@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE flatness-mean REAL
@ATTRIBUTE flatness-variance REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE flatness-std REAL
@ATTRIBUTE flatness-hmean REAL
@ATTRIBUTE composer {bach, beethoven, chopin, haydn, liszt, mendelssohn, mozart, vivaldi}

@DATA
-40.433804,-36.460896,-43.640163,-41.419228,-36.568405,-36.294121,-36.898964,-42.384434,-45.6455,-43.064671,-40.019108,-40.524734,-39.377529,0.32352580754621701,0.0040122035235881639,4191.4921964217738,1109879.0828283259,6329.6748821024757,1229112.5847237671,232.43546296291402,76023.377108940025,287.72573785510463,1923900.6997162278,0.038214931480776551,0.00014159873263457472,0.063341957055242329,0.31192018291550022,bach
-69.331009,-57.169701,-54.999092,-59.739822,-59.223698,-52.719822,-53.363972,-52.244003,-54.764526,-57.85339,-58.101517,-58.753994,-57.06987,0.21766302857986183,0.00096909620981818455,5031.0239817282072,2556867.7371484763,6570.9585854973593,853630.22787379078,24.468311493846915,483.86573154373815,5.8830082652337321,1272.6380779541098,0.076448821731062044,0.00030695887373491436,0.031130310146514514,0.21344993782059291,bach
-62.585892,-50.901699,-54.880245,-56.570702,-57.176853,-52.044182,-50.77433,-51.400326,-54.598839,-56.465542,-54.659119,-52.769695,-53.68803,0.35844269850928384,0.0038489217234145227,4009.9162542824515,1883562.6880761276,7431.8540986071621,1510792.8416982191,70.010271644156646,14560.372166848998,8.4768005088016487,1512.0637476137197,0.034865177126950891,0.00022981831002751837,0.062039678621141507,0.34799153861425369,bach
-58.262409,-45.554741,-47.475895,-47.663918,-48.061954,-48.764595,-44.461815,-45.999771,-43.931145,-46.589336,-50.247128,-47.86224,-47.511795,0.25381555583230159,0.00098106584494723581,3607.5371145793679,2731958.7990602739,6740.5226836101065,1039180.7017548346,23.027556321377713,641.65590973037342,33.457821003985586,18518.915135430529,0.055824654429958126,0.00017054505134713566,0.031321970642781014,0.24994593374034837,bach
-60.391151,-51.06031,-53.207188,-52.632,-57.138203,-57.160252,-55.510544,-54.332829,-53.024582,-55.894608,-54.293022,-53.756172,-55.067287,0.27061086798354073,0.00185410606198822,4133.0795584316711,2544813.6225246866,7133.3104626757586,1293140.5687618118,58.959891408216741,1760.3315877767359,4.9209648627916218,318.32973018201341,0.065916667657974881,0.00022794331634344521,0.043059331880420763,0.2639808751467978,bach
-63.052208,-46.871281,-44.40189,-43.099529,-43.76825,-54.087917,-49.773903,-48.325081,-51.597961,-57.513523,-51.683022,-53.908264,-57.851662,0.20902448041179492,0.00083741049758204124,5399.486105824134,1863508.4911469037,6783.3282373585898,1053200.8813861872,33.598088642581587,593.38340301715573,9.6374375249564768,2071.2022887337494,0.079427578987438144,0.00023720977659246823,0.028938045849401118,0.20511968656290011,bach
-67.169701,-50.669842,-55.596581,-57.330513,-56.586487,-57.229954,-57.734192,-60.345684,-55.87875,-55.018623,-56.39571,-56.441044,-58.063972,0.22567200210324068,0.00098054629054341539,4727.483821850019,5317777.1861676723,7054.5963589683161,1191470.2738631067,19.273534773952115,246.71032232451947,5.4463528055999157,1218.2530805270171,0.075691957913018651,0.00045750685042728056,0.031313675775025446,0.22129731331897601,bach
-77.314697,-60.461491,-63.831814,-63.150452,-63.261944,-61.233517,-60.615578,-60.353779,-62.404457,-62.34763,-61.647381,-63.055111,-65.575798,0.23634427920874418,0.00088847325142018391,3933.5173201370385,1311970.4225207092,6233.0988537193389,922848.65593308315,13.907306397124575,108.06062364182003,3.3906817740674668,431.74033448025426,0.06136804993814237,0.00018769903845549974,0.029807268432719289,0.23262198341254214,bach
-72.153282,-60.752312,-65.785843,-64.604286,-61.640602,-62.004257,-59.936985,-61.608742,-63.181953,-64.802567,-64.432228,-65.696213,-64.524109,0.35178629356870006,0.0036930591897344194,3876.3037685572895,2742237.3085622187,7277.1172222577443,1326458.9822432934,73.110423730814645,13101.571062034647,71.588330673530592,305788.01268848206,0.036667375452036542,0.00014275595118561896,0.060770545412513942,0.34198939207805151,bach
-74.412651,-65.228424,-62.278015,-62.526184,-61.158466,-61.301735,-62.642067,-63.53978,-62.713528,-61.920822,-61.035652,-63.309536,-63.119492,0.29002143767086963,0.0022896836680716248,5467.4914350970685,3384833.9431126975,6696.6885813933432,1046420.7494686357,23.358434103018077,1087.3710276123281,2.974912875657993,379.3969715464799,0.056661070731823374,0.0001431222459310207,0.047850639160533948,0.28246916002375089,bach
