@RELATION "composer dataset"

@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE f0-mean REAL
@ATTRIBUTE f0-variance REAL
@ATTRIBUTE entropy-mean REAL
@ATTRIBUTE entropy-variance REAL
@ATTRIBUTE harmonicratio-mean REAL
@ATTRIBUTE harmonicratio-variance REAL
@ATTRIBUTE chroma-mean REAL
@ATTRIBUTE chroma-variance REAL
@ATTRIBUTE composer {bach, beethoven, chopin, haydn, liszt, mendelssohn, mozart, vivaldi}

@DATA
-79.424103,-70.438515,-70.711433,-70.821701,-71.778458,-68.413406,-70.873405,-68.400459,-68.301216,-66.256218,-69.000389,-67.381493,-71.686447,2619.3379790940767,991254.96242517605,7344.4673106761757,1652671.3604974833,128.45080445023225,23113.901990482525,62.86993173733655,151473.13500662692,0.024648467745838173,7.9450404527718702e-05,293.92639641608559,11973.916204664338,4.925833797713282,0.10621395858983868,0.65971267223358154,0.0,0.31939369,0.14048028,bach
-56.533176,-48.257202,-48.227539,-49.861984,-48.066185,-46.524067,-50.560017,-47.332066,-49.809536,-51.209782,-47.032959,-46.666458,-50.620461,3500.6968641114981,583919.37500758551,6757.2023387027257,1064839.8401269142,199.02751636357442,52501.725243062116,46.528509947264155,41381.516262056801,0.049254213245257451,0.00021203590601033773,387.21121858839746,21495.015850925309,6.1942118326453706,0.1371698998667876,0.73790591955184937,0.0,0.20610036,0.13067384,bach
-72.746246,-73.855431,-69.281693,-69.332748,-75.136154,-79.034996,-77.544266,-70.360527,-65.094406,-65.708405,-66.193192,-73.21656,-70.426193,3374.9128919860627,2855206.8739453196,7586.8597456060361,1477476.1353265916,197.4938070204569,45653.08905093903,159.36744144398079,2674722.5691308249,0.044578206663763068,0.00029489068546137745,361.08711062500379,23119.919304937208,5.5970281864200224,0.081390865963929207,0.076966866850852966,0.0,0.18723516,0.13180643,bach
-37.23333,-34.664822,-35.969421,-34.38121,-36.198318,-35.00267,-39.569218,-34.594894,-39.076542,-36.032135,-34.582111,-36.081097,-36.424362,4300.8710801393727,1930234.4328570049,6371.5501065787721,1693905.6911738329,534.81056216332604,195262.52941128364,14806.881623862178,3924168527.9656544,0.044990306208865662,0.00012491114571941802,413.35420102404845,51502.678670156827,6.0401452878995592,0.08714424224313802,0.63908857107162476,0.0,0.40444529,0.16387764,bach
-58.067772,-52.953819,-50.918255,-50.649246,-52.958679,-51.78215,-51.367977,-54.114964,-55.455235,-49.526314,-47.038433,-43.551838,-38.020443,4005.5749128919861,1297460.2095448636,6862.8344307846673,1097971.5049455869,40.388825034615238,2087.4713920820855,19.915161474261744,8353.6919576915025,0.062817581300813011,0.00027249640446259059,432.59523397778707,26664.858723903602,6.5818367153925346,0.09045940768627081,0.12804746627807617,0.0,0.20560437,0.12794673,bach
-56.251553,-48.537762,-52.590061,-58.346245,-54.75502,-56.150337,-55.20314,-56.500061,-58.886997,-53.374393,-46.396202,-43.962173,-44.14677,6032.4041811846691,827765.30005219707,7333.3240853847574,1873874.7121307231,38.859273923721787,2723.9179645255617,4.5555118742635203,1071.9252103248728,0.08091139784165699,0.00030330439011043794,480.8627621942004,68196.41072714109,6.613004974094971,0.073657061021961151,2.1189491748809814,0.0,0.13228796,0.087335162,bach
-55.357559,-51.815266,-53.475075,-53.04364,-52.507267,-53.831245,-53.048157,-56.777058,-48.073093,-49.03933,-49.667061,-50.969337,-51.587139,5029.7909407665502,1329521.9075137328,7285.8665596153032,1419309.0167647782,57.271260328824511,5261.4102609510646,35.453035242910651,52052.365361887423,0.059249706615369727,0.00029467524782110228,502.09438471659365,46291.501077766829,6.3253962667792329,0.084990025137376135,0.2623770534992218,0.0,0.32058725,0.12703477,bach
-43.748898,-39.789799,-42.168419,-42.551548,-44.648251,-44.440926,-40.718674,-40.911221,-40.259277,-42.568806,-43.515366,-43.232803,-46.985703,3379.7909407665506,2151176.959778606,7048.8278905002362,1264479.3831988696,77.510226814035207,3614.4619381926964,119.44231106758896,283477.5760949548,0.060590731465350371,0.00028788809551220625,342.50221237082189,21364.602071504192,6.4604493669885743,0.060726747665856569,0.90075641870498657,0.0,0.31963849,0.14546788,bach
-55.091545,-48.45113,-47.320194,-48.54039,-48.20129,-47.174011,-47.702843,-52.668694,-51.14011,-50.001125,-52.225258,-54.435715,-54.05146,3035.3658536585367,722695.24942635372,6934.7423825856558,1805114.3736307644,34.787399574993103,1192.4322653497993,59.7070853548625,59492.676679505101,0.050710928426248546,0.00016836158490735791,383.68679598676482,23355.88218912348,6.5027136872823599,0.096225506290691598,5.6506447792053223,0.0,0.19946602,0.085497759,bach
-61.209003,-38.651066,-43.503269,-43.434532,-44.533329,-43.10873,-43.940586,-38.653511,-42.023335,-38.842171,-40.303406,-48.228123,-47.874382,2686.4111498257839,2829327.5382728558,6586.6479842850185,1986896.2837431259,259.82845941588624,46436.27969702088,20465.213635790315,9745994479.3905716,0.040767609126984128,0.00020490794668274971,339.89246960624075,42444.544682891799,5.8506206290185609,0.10356668842791414,1.3263739347457886,0.0,0.21820603,0.12369072,bach
