@RELATION "composer dataset"

@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE f0-mean REAL
@ATTRIBUTE f0-variance REAL
@ATTRIBUTE entropy-mean REAL
@ATTRIBUTE entropy-variance REAL
@ATTRIBUTE harmonicratio-mean REAL
@ATTRIBUTE harmonicratio-variance REAL
@ATTRIBUTE chroma-mean REAL
@ATTRIBUTE chroma-variance REAL
@ATTRIBUTE composer {bach, beethoven, chopin, haydn, liszt, mendelssohn, mozart, vivaldi}

@DATA
-79.426231,-70.457687,-70.662102,-70.839897,-71.774246,-68.420609,-70.913261,-68.397835,-68.324776,-66.244156,-68.986076,-67.407494,-71.645798,2619.3379790940767,991254.96242518432,7344.466389973958,1652673.2908063782,128.45096859916254,23113.926366204043,62.868942059448962,151462.54692719734,0.024648467745838173,7.9262844886706768e-05,293.92645545159019,11973.960483821755,4.9258063116416979,0.10623295562769838,0.6600877046585083,0.0,0.31882128,0.14068091,bach
-37.233006,-34.665024,-35.969521,-34.382111,-36.198288,-35.002419,-39.568794,-34.595104,-39.07782,-36.031944,-34.581642,-36.081398,-36.42429,4300.8710801393727,1930234.4328570217,6371.5499027974374,1693909.598138235,534.36681789378997,194811.02838442655,14806.93183972917,3924236402.0025973,0.044994465011614401,0.00012529860093821456,413.35419161948317,51502.664074538559,6.0401477987250294,0.087147704826065264,0.63907468318939209,0.0,0.40437815,0.16382119,bach
-63.132095,-52.090775,-49.89476,-55.486935,-54.121456,-53.740646,-53.151516,-54.23719,-49.227932,-52.036411,-47.634724,-50.685059,-51.635098,3903.6585365853657,2012835.0471658027,6492.1852687078072,1599038.9640568306,461.93709329944039,188970.42933315563,11473.206118412078,2676625337.5828471,0.042309768800813011,0.00017992686053769428,412.11482972467405,39442.357748019429,5.9870722988895144,0.14583450767357792,0.76182329654693604,0.0,0.20461965,0.1334554,bach
-51.930008,-45.728813,-44.600761,-41.931969,-39.199074,-39.782413,-39.839172,-38.037758,-38.375965,-38.571976,-37.952805,-40.071175,-37.210686,3760.2787456445994,2416854.2777015623,7211.2441042354758,1674163.0162819393,104.71822122977402,33213.260888843834,81.541283071979578,273428.44135819562,0.036117311507936505,0.00018744531425683912,421.5989228299178,30906.621472110572,5.2440752717260697,0.14502007004568565,0.18673712015151978,0.0,0.24894628,0.17050733,bach
-58.070896,-52.951656,-50.915543,-50.649529,-52.959576,-51.783348,-51.366093,-54.116997,-55.455879,-49.526272,-47.04097,-43.552448,-38.020611,4005.5749128919861,1297460.2095448531,6862.8411339240347,1097965.066894548,40.226374903622407,1764.7073882115558,19.914637554919139,8353.1269798816847,0.062815690935927218,0.00027204088646808793,432.59542286363722,26664.949692397531,6.5818455445411086,0.090462714941769121,0.12803903222084045,0.0,0.20576631,0.12789173,bach
-56.251175,-48.5364,-52.591282,-58.352802,-54.760567,-56.145622,-55.198593,-56.505775,-58.881874,-53.375423,-46.396461,-43.963585,-44.147987,6032.4041811846691,827765.30005220405,7333.3225867034762,1873874.709932396,38.859031648309113,2723.9337030852644,4.5550040275329193,1071.2353635698794,0.08090383638211382,0.00030307030090883578,480.85033679331542,68185.914419644876,6.6130029090928604,0.073662062895422459,2.1190648078918457,0.0,0.13149276,0.086724803,bach
-55.349323,-51.812321,-53.478001,-53.041325,-52.509174,-53.830315,-53.046246,-56.783073,-48.076721,-49.038193,-49.665012,-50.968277,-51.587868,5029.7909407665502,1329521.9075137491,7285.8688051797508,1419311.8531184478,57.271159770919795,5261.3790714225661,35.451955452152944,52047.278936811825,0.059253865418118466,0.00029388962980983122,501.94280701038036,46247.276114215965,6.3253826232921968,0.084987850852157862,0.26214000582695007,0.0,0.32119912,0.12732698,bach
-43.747433,-39.789463,-42.168583,-42.553791,-44.648232,-44.440556,-40.717209,-40.910934,-40.258766,-42.569145,-43.515678,-43.232323,-46.986946,3379.7909407665506,2151176.959778558,7048.8318752948971,1264484.0386346059,77.510606939461269,3614.5002612557546,119.44296273433255,283461.45566600794,0.060600183289779327,0.00028737064969143239,342.50221185983264,21364.605167088666,6.4604423870377605,0.060724279989862857,0.90078514814376831,0.0,0.31976932,0.14549237,bach
-47.716618,-38.054752,-39.645386,-38.119678,-39.363972,-39.509666,-38.713215,-38.190109,-38.730156,-39.051521,-41.350361,-41.754379,-41.761822,4147.5609756097565,1494610.7758986999,6713.6669976695584,1452391.3484058857,380.16095905695317,73773.807893703459,1217.6237063235067,23187778.490093689,0.040682542707123501,0.00011222509716002008,407.18944670662046,31903.280015453678,5.9310080282364162,0.077611109992087132,0.069016896188259125,0.0,0.14248048,0.099099517,bach
-61.224159,-38.651279,-43.503864,-43.434078,-44.533127,-43.106491,-43.939655,-38.65366,-42.023907,-38.843475,-40.302979,-48.228352,-47.873032,2686.4111498257839,2829327.538272894,6586.6502411916554,1986876.3363613903,260.05977586568258,46476.526793690791,20465.350039255332,9746159381.2614613,0.040768365272938444,0.00020436041073602562,339.90165109372259,42441.306889213229,5.8506252853343339,0.10357093266815542,1.3267149925231934,0.0,0.21838658,0.12380727,bach
